product_name,Sales_Year,Sales_Month,Sales_Month_Number,Monthly_Sales
"Power Oil Product 4591",2025,March,3,882267.36
"Dangote Product 2839",2025,March,3,882255.66
"Nestle Product 8913",2025,March,3,882043.08
"Indomie Product 287",2025,February,2,881990.09
"Dettol Product 326",2025,February,2,881880.40
"Indomie Product 3341",2025,November,11,881813.15
"Golden Penny Product 1276",2025,November,11,881462.35
"Golden Penny Product 2500",2025,August,8,880291.20
"Peak Product 7657",2025,November,11,880228.35
"Dangote Product 5212",2025,October,10,880133.16
"Indomie Product 8948",2025,November,11,879759.11
"Milo Product 5677",2025,February,2,879487.06
"Peak Product 7131",2025,February,2,879309.81
"Milo Product 9891",2026,January,1,878910.33
"Power Oil Product 5104",2025,August,8,878795.20
"Golden Penny Product 4944",2025,October,10,878056.62
"Milo Product 720",2025,August,8,877508.79
"Milo Product 6367",2025,December,12,877398.02
"Dettol Product 8921",2025,June,6,877320.01
"Dettol Product 5931",2025,April,4,877197.26
"Golden Penny Product 5620",2025,February,2,877033.68
"Golden Penny Product 6069",2025,November,11,876647.21
"Nestle Product 2366",2025,March,3,875802.88
"Milo Product 570",2025,October,10,875281.70
"Golden Penny Product 3246",2025,May,5,874676.25
"Dangote Product 3670",2025,April,4,874593.55
"Nestle Product 5509",2025,February,2,874478.16
"Dettol Product 426",2025,October,10,874468.88
"Peak Product 7242",2025,November,11,874401.94
"Golden Penny Product 9241",2025,February,2,873804.27
"Dettol Product 3966",2025,March,3,873664.80
"Peak Product 4174",2025,October,10,873571.44
"Milo Product 2267",2025,April,4,873409.09
"Golden Penny Product 9708",2025,October,10,873245.26
"Indomie Product 9101",2025,September,9,873230.83
"Dangote Product 6356",2025,April,4,872776.97
"Milo Product 5544",2025,March,3,872180.18
"Golden Penny Product 4627",2025,April,4,872009.47
"Dettol Product 1571",2025,August,8,871037.56
"Power Oil Product 5726",2025,February,2,869416.59
"Peak Product 5253",2025,January,1,868873.88
"Dettol Product 5251",2025,February,2,867993.70
"Dettol Product 764",2025,January,1,867889.30
"Nestle Product 3383",2025,February,2,867723.74
"Indomie Product 4448",2025,May,5,867541.14
"Indomie Product 2488",2025,April,4,867201.14
"Peak Product 4625",2025,March,3,867103.26
"Milo Product 9060",2025,August,8,866215.92
"Dangote Product 7349",2025,September,9,866084.38
"Dangote Product 847",2025,September,9,865221.40
"Dangote Product 5856",2025,March,3,865025.84
"Power Oil Product 3373",2025,October,10,864823.44
"Dettol Product 2716",2025,June,6,864243.10
"Power Oil Product 2048",2025,April,4,864139.20
"Milo Product 3096",2025,August,8,864136.09
"Dangote Product 363",2025,February,2,864132.78
"Nestle Product 6272",2025,June,6,863246.42
"Milo Product 4923",2025,March,3,863176.52
"Dettol Product 1528",2025,March,3,863006.87
"Milo Product 4659",2025,September,9,862543.24
"Dettol Product 6772",2025,October,10,862432.14
"Golden Penny Product 5415",2025,January,1,862290.50
"Power Oil Product 7063",2025,November,11,861219.26
"Milo Product 3026",2025,June,6,861106.60
"Dangote Product 800",2025,January,1,860608.98
"Milo Product 6953",2025,October,10,860433.60
"Peak Product 1120",2025,December,12,860242.81
"Milo Product 6990",2025,August,8,860097.41
"Indomie Product 6104",2025,July,7,859964.07
"Nestle Product 804",2025,November,11,859545.23
"Indomie Product 3818",2025,January,1,859450.44
"Peak Product 8875",2025,August,8,859440.28
"Nestle Product 7263",2025,April,4,859019.82
"Dangote Product 7312",2025,August,8,858438.64
"Indomie Product 3325",2025,August,8,858229.79
"Dangote Product 3535",2025,December,12,858118.43
"Milo Product 6162",2025,June,6,857831.77
"Indomie Product 3685",2025,May,5,857755.44
"Nestle Product 9207",2025,November,11,856987.23
"Golden Penny Product 2068",2025,January,1,856821.53
"Power Oil Product 735",2025,March,3,856504.82
"Indomie Product 7740",2025,February,2,856467.87
"Dettol Product 5832",2025,May,5,856443.72
"Milo Product 1475",2025,February,2,856399.78
"Power Oil Product 7769",2025,August,8,855982.05
"Peak Product 7328",2025,January,1,855587.77
"Peak Product 1147",2025,June,6,855532.38
"Peak Product 170",2025,February,2,854956.59
"Power Oil Product 6500",2025,December,12,854849.52
"Dangote Product 3967",2025,January,1,854667.47
"Milo Product 8129",2025,October,10,854154.64
"Golden Penny Product 5072",2025,July,7,853670.30
"Milo Product 9642",2025,November,11,853614.01
"Milo Product 6534",2025,July,7,853202.46
"Milo Product 9706",2025,April,4,852871.36
"Dangote Product 2332",2025,July,7,852624.90
"Nestle Product 5911",2025,December,12,852246.06
"Dettol Product 3456",2025,February,2,850895.74
"Dangote Product 906",2025,September,9,850886.19
"Power Oil Product 1088",2025,September,9,850426.83
"Power Oil Product 4143",2025,July,7,850016.58
"Indomie Product 4904",2025,November,11,849966.18
"Power Oil Product 5993",2025,September,9,849855.76
"Power Oil Product 2166",2025,August,8,849750.88
"Indomie Product 9770",2025,June,6,849400.41
"Nestle Product 2964",2025,November,11,849109.98
"Nestle Product 6979",2025,February,2,848737.80
"Peak Product 1618",2025,May,5,847865.10
"Golden Penny Product 3920",2025,June,6,846479.44
"Milo Product 8719",2025,April,4,846449.53
"Golden Penny Product 7205",2025,June,6,845682.31
"Peak Product 5139",2025,January,1,844694.94
"Dangote Product 1234",2025,September,9,844363.45
"Milo Product 5443",2025,December,12,844118.34
"Milo Product 9150",2025,January,1,843713.12
"Indomie Product 5596",2025,February,2,843509.35
"Nestle Product 6927",2025,January,1,843432.76
"Dettol Product 766",2025,January,1,843023.25
"Indomie Product 5324",2025,February,2,843005.10
"Dangote Product 4277",2025,September,9,842822.25
"Nestle Product 5748",2025,June,6,842743.00
"Nestle Product 8748",2025,May,5,842258.04
"Peak Product 6001",2025,August,8,841887.97
"Milo Product 4077",2025,August,8,841604.30
"Indomie Product 9822",2025,June,6,841577.12
"Power Oil Product 6222",2025,June,6,841535.37
"Peak Product 1939",2025,February,2,841496.00
"Indomie Product 2949",2025,March,3,841388.86
"Peak Product 9088",2025,December,12,840750.30
"Dettol Product 4050",2025,January,1,840553.40
"Milo Product 4285",2025,September,9,840396.00
"Dangote Product 8373",2025,August,8,839893.78
"Milo Product 6717",2025,May,5,839736.21
"Power Oil Product 1698",2025,March,3,839734.23
"Dangote Product 1215",2025,June,6,839162.28
"Nestle Product 3493",2025,August,8,839148.48
"Indomie Product 1251",2025,December,12,838923.85
"Nestle Product 1856",2025,July,7,838367.50
"Indomie Product 1624",2025,February,2,837963.50
"Milo Product 1768",2025,December,12,837008.55
"Peak Product 7355",2025,March,3,836890.11
"Power Oil Product 5000",2025,June,6,836769.89
"Power Oil Product 4710",2025,October,10,836759.00
"Power Oil Product 8444",2025,December,12,836564.82
"Nestle Product 8639",2025,January,1,836418.95
"Peak Product 3107",2025,January,1,836183.53
"Dangote Product 9492",2025,December,12,835994.17
"Power Oil Product 4926",2025,September,9,835694.68
"Dettol Product 2603",2025,March,3,835078.02
"Nestle Product 9407",2025,September,9,835025.24
"Milo Product 9397",2025,March,3,834702.16
"Nestle Product 5360",2025,May,5,834605.50
"Power Oil Product 8227",2025,November,11,834556.60
"Power Oil Product 9926",2025,February,2,833920.89
"Dangote Product 2860",2025,October,10,833827.24
"Golden Penny Product 4263",2025,January,1,833794.86
"Milo Product 3974",2025,January,1,833768.55
"Golden Penny Product 5035",2025,March,3,832371.84
"Peak Product 8578",2025,January,1,832142.50
"Power Oil Product 3848",2025,June,6,831668.98
"Power Oil Product 876",2025,October,10,831199.74
"Peak Product 6511",2025,January,1,831028.47
"Peak Product 8655",2025,June,6,830869.68
"Dangote Product 6967",2025,January,1,830758.04
"Peak Product 3062",2025,August,8,830607.36
"Peak Product 9229",2025,May,5,830592.68
"Golden Penny Product 629",2025,April,4,830123.91
"Milo Product 9939",2025,January,1,830117.24
"Dettol Product 6048",2025,April,4,829465.70
"Peak Product 3737",2025,June,6,828556.17
"Nestle Product 1072",2025,June,6,828436.13
"Power Oil Product 517",2025,March,3,828054.72
"Golden Penny Product 4895",2025,October,10,827997.48
"Indomie Product 8180",2025,November,11,827919.40
"Indomie Product 9873",2025,October,10,827641.90
"Peak Product 9216",2025,November,11,827228.58
"Dangote Product 5824",2025,July,7,827129.16
"Dangote Product 1983",2025,May,5,826159.11
"Dangote Product 9671",2025,April,4,826069.42
"Dettol Product 8514",2025,July,7,825534.71
"Dettol Product 8979",2025,February,2,823641.50
"Dettol Product 6975",2025,January,1,823372.60
"Nestle Product 6707",2025,May,5,822777.62
"Peak Product 9015",2025,January,1,822647.41
"Peak Product 880",2025,September,9,822055.63
"Power Oil Product 8053",2025,August,8,821388.36
"Indomie Product 1353",2025,August,8,821204.13
"Milo Product 5761",2025,August,8,820901.36
"Golden Penny Product 6599",2025,September,9,820633.18
"Dettol Product 8836",2025,March,3,820577.56
"Milo Product 3642",2025,October,10,820457.49
"Nestle Product 3365",2025,January,1,820214.42
"Peak Product 1947",2025,November,11,819961.20
"Power Oil Product 993",2025,April,4,819089.31
"Peak Product 9376",2025,June,6,817661.52
"Peak Product 6688",2025,March,3,817635.40
"Power Oil Product 6213",2025,December,12,817464.15
"Nestle Product 6685",2025,March,3,816930.62
"Nestle Product 1938",2025,December,12,816519.90
"Dettol Product 4013",2025,November,11,816435.59
"Indomie Product 6983",2025,April,4,816430.32
"Nestle Product 6549",2025,May,5,815287.16
"Nestle Product 9551",2025,October,10,815216.10
"Dangote Product 3272",2025,February,2,815128.25
"Nestle Product 8855",2025,August,8,814398.10
"Golden Penny Product 1821",2025,October,10,814106.52
"Dangote Product 3",2025,December,12,813704.32
"Nestle Product 7654",2025,November,11,813421.08
"Dettol Product 6860",2025,February,2,812865.78
"Dangote Product 9918",2025,July,7,812661.62
"Indomie Product 2656",2025,November,11,811896.96
"Power Oil Product 2124",2025,November,11,811833.56
"Power Oil Product 2579",2025,September,9,811823.12
"Dettol Product 1206",2025,August,8,811306.10
"Milo Product 8720",2025,August,8,811235.51
"Milo Product 5167",2025,July,7,811204.06
"Golden Penny Product 5599",2025,October,10,811154.12
"Dettol Product 4231",2025,August,8,811148.66
"Power Oil Product 2785",2025,August,8,810152.48
"Dettol Product 3676",2025,December,12,809896.84
"Peak Product 8399",2025,August,8,808868.95
"Dettol Product 8001",2025,August,8,808624.62
"Peak Product 622",2025,August,8,808100.57
"Dettol Product 6808",2025,November,11,807838.98
"Milo Product 2472",2025,January,1,807793.88
"Indomie Product 6153",2025,June,6,807476.79
"Dettol Product 683",2025,July,7,807207.40
"Milo Product 1170",2025,October,10,806613.79
"Peak Product 5312",2025,July,7,805810.94
"Nestle Product 471",2025,September,9,805804.35
"Nestle Product 7153",2025,February,2,805803.34
"Indomie Product 9689",2025,October,10,805644.00
"Dangote Product 8450",2025,July,7,805407.10
"Dettol Product 4849",2025,December,12,805006.50
"Golden Penny Product 446",2025,March,3,804795.75
"Dettol Product 4773",2025,March,3,804585.86
"Golden Penny Product 3194",2025,May,5,803965.08
"Power Oil Product 9595",2025,August,8,803656.84
"Dangote Product 6675",2025,November,11,803449.35
"Dangote Product 8614",2025,November,11,802953.54
"Golden Penny Product 5095",2025,April,4,802598.37
"Dangote Product 3244",2025,September,9,802287.40
"Peak Product 9184",2025,January,1,801773.33
"Dangote Product 2152",2025,April,4,801416.45
"Dettol Product 3543",2025,December,12,801396.44
"Golden Penny Product 6086",2025,July,7,801210.14
"Dangote Product 4024",2025,November,11,800924.40
"Milo Product 6094",2025,June,6,800751.70
"Dettol Product 7577",2025,April,4,800225.54
"Dettol Product 4692",2025,December,12,799787.41
"Golden Penny Product 1336",2025,July,7,799684.80
"Dettol Product 1535",2025,October,10,799585.92
"Power Oil Product 1663",2025,July,7,798976.20
"Nestle Product 2652",2025,July,7,798633.85
"Milo Product 1767",2025,July,7,798462.00
"Dettol Product 6216",2025,January,1,798406.94
"Nestle Product 3839",2025,June,6,798349.50
"Dangote Product 8642",2025,February,2,798298.38
"Power Oil Product 4992",2025,July,7,797857.27
"Golden Penny Product 763",2025,December,12,797704.00
"Indomie Product 2864",2025,June,6,797620.32
"Dettol Product 5978",2025,October,10,797309.53
"Milo Product 6686",2025,November,11,797072.13
"Dangote Product 1052",2025,October,10,796349.86
"Dettol Product 6307",2025,January,1,795497.61
"Peak Product 2619",2025,May,5,794781.12
"Indomie Product 6025",2025,June,6,794611.02
"Milo Product 2047",2025,November,11,794360.35
"Nestle Product 3415",2025,September,9,794224.52
"Indomie Product 3454",2025,May,5,794045.31
"Golden Penny Product 3406",2025,December,12,793926.19
"Golden Penny Product 1091",2025,February,2,793829.40
"Golden Penny Product 6591",2025,September,9,793810.40
"Indomie Product 5715",2025,April,4,793667.00
"Milo Product 4247",2025,January,1,793640.64
"Nestle Product 1109",2025,September,9,793106.28
"Dangote Product 8870",2025,November,11,792919.60
"Peak Product 632",2025,September,9,792745.29
"Nestle Product 1171",2025,November,11,791746.64
"Power Oil Product 8314",2025,March,3,791601.69
"Golden Penny Product 7690",2025,April,4,791346.98
"Milo Product 6245",2025,April,4,791279.60
"Power Oil Product 607",2025,June,6,791205.68
"Indomie Product 2278",2025,June,6,790536.23
"Nestle Product 2088",2025,February,2,790499.52
"Power Oil Product 8715",2025,May,5,790451.35
"Power Oil Product 1543",2025,October,10,790410.88
"Golden Penny Product 8497",2025,October,10,790151.42
"Dettol Product 4316",2025,May,5,789757.92
"Power Oil Product 9641",2025,September,9,789719.35
"Indomie Product 9665",2025,October,10,789704.58
"Dangote Product 3605",2025,October,10,789431.70
"Milo Product 3643",2025,November,11,789429.50
"Power Oil Product 4146",2025,March,3,788778.00
"Dangote Product 7756",2025,March,3,787055.75
"Dettol Product 8998",2025,September,9,786994.17
"Indomie Product 9452",2025,March,3,786337.60
"Nestle Product 9819",2025,October,10,786053.60
"Golden Penny Product 55",2025,July,7,785824.49
"Peak Product 8426",2025,March,3,785598.12
"Peak Product 1246",2025,February,2,785219.15
"Power Oil Product 2783",2025,May,5,784900.17
"Indomie Product 2154",2025,February,2,784872.98
"Indomie Product 1835",2025,June,6,784788.27
"Indomie Product 3673",2025,August,8,784206.66
"Dangote Product 1286",2025,July,7,783901.50
"Indomie Product 4828",2025,October,10,783898.15
"Power Oil Product 7774",2025,March,3,783856.60
"Power Oil Product 5759",2025,April,4,783738.21
"Dangote Product 7675",2025,April,4,783518.32
"Milo Product 4664",2025,May,5,783429.59
"Peak Product 6973",2025,July,7,782854.96
"Golden Penny Product 4673",2025,April,4,782258.06
"Golden Penny Product 3395",2025,May,5,781282.00
"Peak Product 6179",2025,August,8,781131.48
"Milo Product 45",2025,December,12,781070.31
"Dangote Product 1383",2025,November,11,781069.77
"Dettol Product 532",2025,April,4,780979.58
"Nestle Product 750",2025,January,1,780711.90
"Power Oil Product 8896",2025,June,6,780384.71
"Power Oil Product 959",2025,April,4,780258.27
"Peak Product 6495",2025,February,2,779889.28
"Dangote Product 6295",2025,May,5,779581.80
"Dettol Product 3547",2025,March,3,779299.93
"Dettol Product 9749",2025,August,8,779162.61
"Peak Product 8966",2025,November,11,778889.95
"Dettol Product 2215",2025,December,12,778589.12
"Golden Penny Product 1916",2025,March,3,778570.56
"Peak Product 9506",2025,March,3,778118.02
"Power Oil Product 6573",2025,November,11,777985.34
"Indomie Product 1941",2025,March,3,777708.36
"Indomie Product 3964",2025,November,11,777702.19
"Golden Penny Product 6350",2025,December,12,777426.85
"Power Oil Product 406",2025,October,10,777148.85
"Golden Penny Product 3495",2025,November,11,776688.90
"Peak Product 7301",2025,February,2,775392.71
"Indomie Product 4484",2025,October,10,775167.81
"Indomie Product 3409",2025,January,1,774954.50
"Peak Product 4396",2025,August,8,774558.91
"Dettol Product 7500",2025,August,8,774359.41
"Power Oil Product 8120",2025,December,12,774288.12
"Milo Product 8143",2025,October,10,774008.04
"Nestle Product 6475",2025,September,9,773795.88
"Golden Penny Product 3366",2025,August,8,773492.60
"Dettol Product 9333",2025,May,5,773252.87
"Power Oil Product 3976",2025,February,2,772777.60
"Milo Product 9214",2025,April,4,772400.47
"Power Oil Product 8307",2025,October,10,771889.68
"Milo Product 1545",2025,October,10,771699.02
"Dangote Product 1000",2025,October,10,771394.26
"Indomie Product 340",2025,November,11,771289.71
"Power Oil Product 5477",2025,May,5,770688.10
"Dettol Product 3991",2025,November,11,770634.06
"Power Oil Product 9666",2025,March,3,770544.04
"Nestle Product 4834",2025,October,10,769765.76
"Peak Product 4378",2026,January,1,769527.82
"Power Oil Product 3857",2025,August,8,769102.92
"Milo Product 5465",2025,January,1,769069.12
"Indomie Product 1853",2025,June,6,769052.13
"Nestle Product 2477",2025,May,5,768911.52
"Peak Product 6693",2025,June,6,768749.26
"Peak Product 5954",2025,March,3,768736.56
"Peak Product 2617",2025,February,2,768381.60
"Nestle Product 1510",2025,January,1,767926.50
"Dettol Product 5049",2025,May,5,767471.40
"Milo Product 1430",2025,May,5,767197.20
"Milo Product 979",2025,December,12,766518.39
"Nestle Product 3210",2025,September,9,766490.76
"Dettol Product 1165",2025,July,7,766043.52
"Dettol Product 3084",2025,April,4,766000.40
"Golden Penny Product 8957",2025,April,4,763925.16
"Dangote Product 8696",2025,January,1,763703.04
"Indomie Product 6365",2025,June,6,763521.94
"Golden Penny Product 4385",2025,November,11,763283.28
"Golden Penny Product 8102",2025,July,7,762348.72
"Peak Product 4383",2025,January,1,762327.27
"Power Oil Product 3046",2025,January,1,761987.93
"Dangote Product 5915",2025,September,9,761546.75
"Peak Product 7594",2025,January,1,761363.67
"Peak Product 5419",2025,March,3,760217.85
"Power Oil Product 7259",2025,September,9,759550.40
"Indomie Product 1076",2025,July,7,759371.50
"Dangote Product 3831",2025,June,6,759258.72
"Golden Penny Product 3241",2025,June,6,759132.90
"Golden Penny Product 3252",2025,June,6,758786.85
"Indomie Product 7540",2025,June,6,757708.48
"Golden Penny Product 8263",2025,June,6,757590.48
"Peak Product 9444",2025,January,1,757580.04
"Power Oil Product 6584",2025,October,10,757290.10
"Dangote Product 8003",2025,January,1,757193.50
"Milo Product 1742",2025,July,7,756849.72
"Peak Product 4302",2025,July,7,756541.24
"Indomie Product 8461",2025,August,8,756456.75
"Dangote Product 4899",2025,December,12,756132.21
"Indomie Product 4109",2025,April,4,755940.40
"Dangote Product 1229",2025,July,7,755597.16
"Dangote Product 1249",2025,January,1,755530.34
"Power Oil Product 7077",2025,July,7,755260.58
"Milo Product 8828",2025,November,11,755190.74
"Dettol Product 333",2025,April,4,754738.10
"Indomie Product 7293",2025,November,11,754380.90
"Dettol Product 5574",2025,November,11,754375.20
"Dangote Product 1453",2025,April,4,754302.06
"Peak Product 9346",2025,May,5,752733.92
"Golden Penny Product 6821",2025,February,2,752669.44
"Power Oil Product 1559",2025,December,12,751711.50
"Nestle Product 6632",2025,July,7,750934.32
"Golden Penny Product 1136",2025,July,7,750924.48
"Nestle Product 3025",2025,August,8,750429.14
"Indomie Product 1539",2025,April,4,750223.56
"Dettol Product 7224",2025,June,6,750198.75
"Golden Penny Product 7039",2025,June,6,750062.50
"Dangote Product 9586",2025,September,9,749964.63
"Golden Penny Product 5201",2025,July,7,749940.84
"Dangote Product 5407",2025,February,2,749862.88
"Dettol Product 4558",2025,January,1,749228.43
"Indomie Product 3747",2025,February,2,749212.93
"Power Oil Product 7692",2025,September,9,748955.40
"Dangote Product 3285",2025,August,8,748869.98
"Nestle Product 1551",2025,January,1,748741.63
"Dettol Product 9118",2025,August,8,748406.45
"Nestle Product 2277",2025,March,3,748285.44
"Dettol Product 1872",2025,July,7,747724.68
"Nestle Product 8911",2025,April,4,746581.06
"Nestle Product 4801",2025,August,8,746099.20
"Dangote Product 2290",2025,April,4,746055.14
"Dettol Product 7036",2025,April,4,744168.45
"Indomie Product 5569",2025,March,3,743985.48
"Power Oil Product 7016",2025,August,8,743698.80
"Indomie Product 9934",2025,November,11,743230.04
"Nestle Product 8544",2025,April,4,743153.60
"Power Oil Product 5579",2025,June,6,743047.96
"Nestle Product 4357",2025,November,11,742884.51
"Golden Penny Product 9045",2025,March,3,742794.90
"Milo Product 8562",2025,April,4,742446.60
"Nestle Product 4017",2025,January,1,741575.78
"Golden Penny Product 44",2025,May,5,741551.05
"Milo Product 8764",2025,August,8,741370.61
"Power Oil Product 5065",2025,July,7,741082.97
"Peak Product 7117",2025,April,4,740942.78
"Indomie Product 3287",2025,January,1,740817.22
"Indomie Product 7615",2025,September,9,740124.36
"Power Oil Product 8585",2025,March,3,740033.67
"Peak Product 9733",2025,November,11,740021.33
"Golden Penny Product 8202",2025,September,9,739377.30
"Indomie Product 9174",2025,August,8,739068.48
"Dettol Product 8765",2025,January,1,738597.32
"Dangote Product 3236",2025,July,7,738572.61
"Dettol Product 3674",2025,July,7,738548.22
"Dangote Product 320",2025,December,12,738304.32
"Nestle Product 3414",2025,April,4,738264.64
"Dangote Product 2071",2025,June,6,737905.98
"Nestle Product 1260",2025,April,4,737127.40
"Dettol Product 6734",2025,August,8,737120.52
"Milo Product 6353",2025,August,8,737074.60
"Indomie Product 733",2025,December,12,736099.08
"Dettol Product 1270",2025,September,9,735219.17
"Dangote Product 5664",2025,April,4,735078.40
"Dettol Product 412",2025,June,6,735013.42
"Indomie Product 2902",2025,February,2,734774.04
"Power Oil Product 5552",2025,December,12,734728.10
"Nestle Product 774",2025,March,3,734725.60
"Peak Product 1623",2025,June,6,734715.74
"Nestle Product 6115",2025,July,7,734467.30
"Indomie Product 1593",2025,December,12,733765.23
"Dangote Product 7359",2025,April,4,733484.42
"Dettol Product 7362",2025,May,5,733006.17
"Nestle Product 3128",2025,May,5,732872.95
"Power Oil Product 7152",2025,January,1,732638.90
"Golden Penny Product 4141",2025,November,11,732016.04
"Dettol Product 8236",2025,June,6,731704.20
"Indomie Product 5940",2025,March,3,731496.58
"Nestle Product 8683",2025,December,12,731296.00
"Peak Product 9952",2025,December,12,731161.16
"Milo Product 1838",2025,August,8,730866.27
"Dangote Product 757",2025,May,5,730746.87
"Indomie Product 6663",2025,August,8,730151.64
"Indomie Product 5277",2025,October,10,730151.58
"Nestle Product 1634",2025,September,9,729740.60
"Dangote Product 5559",2025,September,9,729542.38
"Dangote Product 2973",2025,March,3,729362.20
"Milo Product 9354",2025,December,12,729329.50
"Power Oil Product 6177",2025,November,11,728406.00
"Milo Product 550",2025,November,11,728349.44
"Nestle Product 9362",2025,September,9,728313.92
"Dettol Product 8638",2025,May,5,727954.90
"Dangote Product 2644",2025,April,4,726774.07
"Nestle Product 4266",2025,December,12,726659.52
"Indomie Product 2665",2025,November,11,726430.78
"Dangote Product 9589",2025,August,8,726191.20
"Indomie Product 983",2025,July,7,726154.24
"Dangote Product 7429",2025,June,6,725241.28
"Dangote Product 8878",2025,February,2,724926.16
"Power Oil Product 9570",2025,May,5,724822.14
"Milo Product 4639",2025,January,1,724703.48
"Nestle Product 3155",2025,November,11,724604.54
"Peak Product 3300",2025,October,10,724591.95
"Dangote Product 3447",2025,June,6,724132.64
"Power Oil Product 7578",2025,June,6,723795.60
"Power Oil Product 7550",2025,September,9,723708.53
"Dettol Product 8806",2025,June,6,723286.00
"Power Oil Product 5760",2025,August,8,722719.71
"Dettol Product 7092",2025,January,1,722468.66
"Golden Penny Product 6568",2025,December,12,721741.40
"Dangote Product 3541",2025,December,12,721448.92
"Milo Product 8385",2025,March,3,721267.50
"Dettol Product 157",2025,November,11,720889.50
"Power Oil Product 5098",2025,December,12,720727.02
"Milo Product 5640",2025,January,1,720718.92
"Milo Product 2709",2025,December,12,720693.27
"Peak Product 7260",2025,January,1,720664.30
"Peak Product 7314",2025,August,8,720408.33
"Golden Penny Product 8859",2025,June,6,719382.79
"Golden Penny Product 7378",2025,August,8,718766.50
"Indomie Product 8320",2025,January,1,718625.76
"Milo Product 5564",2025,December,12,718561.80
"Dettol Product 998",2025,January,1,718399.77
"Milo Product 8947",2025,June,6,718297.45
"Peak Product 2992",2025,July,7,717994.46
"Indomie Product 5690",2025,July,7,717030.93
"Power Oil Product 4451",2025,May,5,716950.58
"Dangote Product 8916",2025,October,10,716610.80
"Golden Penny Product 7708",2025,November,11,716593.41
"Dettol Product 9929",2025,July,7,716253.27
"Power Oil Product 4414",2025,February,2,715898.40
"Dettol Product 3639",2025,November,11,715728.77
"Indomie Product 778",2025,April,4,715512.94
"Dangote Product 1973",2025,August,8,715367.90
"Dettol Product 4068",2025,November,11,715325.52
"Dangote Product 2190",2025,January,1,715106.68
"Power Oil Product 7383",2025,June,6,714894.44
"Peak Product 917",2025,December,12,714773.05
"Golden Penny Product 6301",2025,January,1,714533.76
"Peak Product 2009",2025,March,3,713905.00
"Golden Penny Product 1751",2025,September,9,713479.46
"Indomie Product 1664",2025,June,6,713324.64
"Peak Product 1167",2025,May,5,713217.59
"Milo Product 2120",2025,April,4,713052.53
"Indomie Product 3399",2025,December,12,712562.20
"Nestle Product 3871",2025,October,10,711860.50
"Dangote Product 653",2025,December,12,711720.73
"Milo Product 1178",2025,March,3,711278.70
"Power Oil Product 3075",2025,July,7,710798.86
"Golden Penny Product 203",2025,October,10,710793.42
"Milo Product 4379",2025,March,3,710496.00
"Dettol Product 8041",2025,September,9,709406.48
"Peak Product 7043",2025,September,9,708719.02
"Power Oil Product 4581",2025,August,8,708695.78
"Peak Product 1816",2025,September,9,707856.06
"Peak Product 7283",2025,December,12,707767.83
"Dangote Product 7568",2025,November,11,707604.45
"Dettol Product 3012",2025,October,10,707499.93
"Power Oil Product 2376",2025,October,10,707371.36
"Golden Penny Product 506",2025,July,7,707212.49
"Peak Product 3263",2025,January,1,707035.22
"Nestle Product 7928",2025,September,9,706745.46
"Indomie Product 4874",2025,July,7,706696.55
"Dettol Product 2574",2025,June,6,706527.90
"Dettol Product 1138",2025,May,5,706443.94
"Indomie Product 9805",2025,December,12,706162.60
"Dettol Product 5567",2025,January,1,705758.89
"Nestle Product 3854",2025,November,11,705115.20
"Golden Penny Product 9193",2025,April,4,705112.33
"Golden Penny Product 4712",2025,January,1,704994.06
"Golden Penny Product 5908",2025,August,8,704980.00
"Golden Penny Product 1334",2025,May,5,704911.25
"Golden Penny Product 6609",2025,July,7,704563.44
"Dangote Product 2287",2025,September,9,704267.14
"Dangote Product 703",2025,April,4,704254.32
"Golden Penny Product 7691",2025,October,10,704044.67
"Indomie Product 6103",2025,November,11,703645.95
"Dettol Product 1648",2025,November,11,703607.26
"Indomie Product 2054",2025,March,3,703134.51
"Peak Product 4554",2025,February,2,702263.46
"Nestle Product 3690",2025,January,1,701823.28
"Indomie Product 3619",2025,February,2,701793.91
"Peak Product 8429",2025,December,12,701734.91
"Nestle Product 505",2025,August,8,701349.58
"Indomie Product 5280",2025,October,10,701262.46
"Dangote Product 7903",2025,May,5,701246.86
"Golden Penny Product 121",2025,November,11,701152.03
"Nestle Product 4645",2025,June,6,700928.74
"Milo Product 4685",2025,October,10,700923.08
"Nestle Product 5965",2025,January,1,700725.20
"Milo Product 7085",2025,July,7,700610.10
"Peak Product 9538",2025,February,2,700277.29
"Dangote Product 5268",2025,July,7,699865.61
"Power Oil Product 8482",2025,October,10,699085.49
"Peak Product 3898",2025,July,7,698938.92
"Peak Product 8475",2025,January,1,698876.12
"Golden Penny Product 8080",2025,December,12,698865.58
"Golden Penny Product 1758",2025,February,2,698851.93
"Power Oil Product 628",2025,November,11,698301.56
"Indomie Product 7663",2025,June,6,698264.69
"Indomie Product 7371",2025,May,5,697694.00
"Milo Product 1289",2025,July,7,697239.60
"Nestle Product 5122",2025,June,6,697172.48
"Dangote Product 117",2025,March,3,696726.74
"Indomie Product 7372",2025,November,11,696300.00
"Indomie Product 9201",2025,January,1,696229.16
"Power Oil Product 8960",2025,September,9,695250.70
"Power Oil Product 7207",2025,November,11,695015.02
"Dangote Product 5885",2025,November,11,694637.18
"Peak Product 4427",2025,December,12,694259.56
"Dangote Product 1932",2025,April,4,693248.23
"Dangote Product 9040",2025,July,7,693234.50
